school,Sex,RACE,ACT,batball,3flips,widgets,trucks,lilypads,water,giftwrap,Jerry,IQ,3.4K v 3.8K(2),Prestige
Michigan,Male,White,29.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,middle
Michigan,Female,White,25.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,middle
Michigan,Male,White,26.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,middle
Michigan,Female,White,28.0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,1.0,middle
Michigan,Female,White,29.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,middle
Michigan,Female,White,29.0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,middle
Michigan,Male,White,22.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,middle
Michigan,Male,White,28.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,middle
Michigan,Female,White,26.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,middle
Michigan,Male,White,24.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,middle
Michigan,Male,White,30.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,middle
Michigan,Male,White,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,middle
Michigan,Female,White,31.0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,middle
Michigan,Female,Asian,28.0,1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,middle
Michigan,Male,White,29.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,middle
Michigan,Male,White,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,middle
Michigan,Male,White,28.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,middle
Michigan,Male,White,30.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,middle
Michigan,Male,White,25.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,middle
Michigan,Female,Asian,29.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,middle
Michigan,Male,White,27.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,middle
Michigan,Female,White,25.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,middle
Michigan,Female,Other,26.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,middle
Michigan,Female,White,28.0,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,middle
Michigan,Male,White,30.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,middle
Michigan,Female,Asian,24.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,middle
Michigan,Male,White,32.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,middle
Michigan,Male,Other,28.0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,middle
Michigan,Female,White,30.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,middle
Michigan,Male,Asian,29.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,middle
Michigan,Male,White,27.0,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,middle
Michigan,Male,White,27.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,middle
Michigan,Female,White,27.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,middle
Michigan,Female,White,27.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,middle
Michigan,Male,Black,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,middle
Michigan,Female,White,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,middle
Michigan,Female,Asian,31.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,middle
Michigan,Female,White,31.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,middle
Michigan,Female,Black,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,middle
Michigan,Male,White,28.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,middle
Michigan,Male,Other,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,middle
Michigan,Female,White,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,middle
Michigan,Male,White,27.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,middle
Michigan,Female,White,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,middle
Michigan,Female,White,26.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,middle
Michigan,Male,White,25.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,middle
Michigan,Male,Asian,27.0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,middle
Michigan,Male,White,25.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,middle
Michigan,Female,White,29.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,middle
Michigan,Female,White,27.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,middle
Michigan,Female,White,28.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,middle
MSU,Male,White,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
MSU,Male,White,27.0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,low
MSU,Female,White,30.0,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,low
MSU,Male,White,28.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
MSU,Female,White,32.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,low
MSU,Male,White,30.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,low
MSU,Female,Other,27.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,low
MSU,Female,Black,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
MSU,Male,White,17.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,low
MSU,Male,Black,21.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
MSU,Female,White,30.0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,low
MSU,Male,Black,22.0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,low
MSU,Female,White,25.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,low
MSU,Female,White,28.0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,low
MSU,Male,White,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,low
MSU,Male,White,24.0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,low
MSU,Male,White,28.0,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,low
MSU,Female,White,27.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,low
MSU,Male,White,27.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,low
MSU,Male,White,28.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,low
MSU,Female,Asian,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
MSU,Female,Asian,21.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,low
MSU,Female,White,27.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,low
MSU,Male,White,28.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,low
MSU,Male,White,27.0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,low
MSU,Female,Asian,22.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,low
MSU,Female,Other,28.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,low
MSU,Male,White,32.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,low
MSU,Male,White,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
MSU,Female,White,32.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,low
MSU,Male,White,26.0,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,low
MSU,Female,Other,32.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,low
MSU,Female,Black,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,low
MSU,Female,White,26.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,low
MSU,Female,White,25.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,low
MSU,Male,White,28.0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,low
MSU,Male,White,27.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,low
MSU,Female,Other,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
MSU,Female,White,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
MSU,Female,White,24.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,low
MSU,Female,White,33.0,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,low
MSU,Female,White,27.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
MSU,Female,White,26.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,low
MSU,Female,White,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
MSU,Female,Black,26.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,low
MSU,Female,White,21.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,low
MSU,Male,White,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,low
MSU,Female,Black,25.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,low
MSU,Female,White,25.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,low
MSU,Female,Black,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,low
MSU,Male,White,27.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,low
MSU,Male,White,18.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,low
Michigan,Male,White,28.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,middle
